Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee,
National,1,14,9,10,Sheikh Aftab Ahmed[PML-N],"The Federal Public Service Commission (Amendment) Bill, 2014",Government,Not Applicable,
National,1,14,10,2,"Muhammad Pervaiz Malik[PML-N]
Shaista Pervaiz[PML-N]
Asiya Naz Tanoli[PML-N]
Marvi Memon[PML-N]","The Child Marriage Restraint (Amendment) Bill, 2014
[Support]",Private,Religious Affairs and Inter-faith Harmony,
National,1,14,10,2,"Ameer Zaman[JUI]
Shahida Akhtar Ali[JUI]
Mrs. Aliya Kamran[JUI]
Aasiya Nasir[JUI]","The Constitution (Amendment) Bill, 2014 (Amendment in Article 198)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,10,2,Tahira Aurangzeb[PML-N],"The Disabled Persons (Employment and Rehabilitation) (Amendment) Bill, 2014
[Support]",Private,Cabinet Secretariat,
National,1,14,10,2,"Leila Khan[PML-N]
Marvi Memon[PML-N]","The Prohibition of Corporal Punishment Bill, 2014
[Support]",Private,Cabinet Secretariat,
National,1,14,10,2,"Romina Khurshid Alam[PML-N]
Phyllis Azeem[PML-N]
Reeta Ishwar[PML-F]
Tariq Christopher Qaiser[PML-N]
Khalil George[PML-N]
Aasiya Nasir[JUI]","The Constitution (Amendment) Bill, 2014 (Amendment in Article 51)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,10,2,Mohammad Ayaz Soomro[PPPP],"The Appointment and Continuation of Services of Government Servants (Absorbed / Appointed by Transfer) Bill, 2014
[Support]",Private,Not Applicable,
National,1,14,10,6,Khawaja Muhammad Asif[PML-N],"The Surveying and Mapping Bill, 2013",Government,Not Applicable,
National,1,14,10,7,Sheikh Aftab Ahmed[PML-N],"The State Bank of Pakistan (Amendment) Bill, 2014
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",
National,1,14,10,9,Sheikh Aftab Ahmed[PML-N],"The Service Tribunals (Amendment) Bill, 2013
[Support]",Government,Not Applicable,
National,1,14,10,10,Sheikh Aftab Ahmed[PML-N],"The Service Tribunals (Amendment) Bill, 2013",Government,Not Applicable,
National,1,14,10,10,Ch. Nisar Ali Khan[PML-N],"The Protection of Pakistan Bill, 2014",Government,Not Applicable,
National,1,14,10,10,Pervaiz Rashid[PML-N],"The Sales Tax (Amendment) Ordinance, 2014 (No. IV of 2014)
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",
National,1,14,10,10,Pervaiz Rashid[PML-N],"The Pakistan Medical and Dental Council (Amendment) Ordinance, 2014 (No. III of 2014)
[Support]",Government,"National Health Services, Regulations and Coordination",
National,1,14,10,11,"Shaikh Salahuddin[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Criminal Law (Amendment) Bill, 2014 (Amendment in Schedule II and insertion of new section 389A)
[Support]",Private,Interior and Narcotics Control,
National,1,14,10,11,"Syed Waseem Hussain[MQM]
Mohammad Salman Khan Baloch[MQM]
Khawaja Sohail Mansoor[MQM]
S. A. Iqbal Qadri[MQM]
Mehboob Alam[MQM]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Muhammad Rehan Hashmi[MQM]
Sufyan Yousuf[MQM]
Dr. Muhammad Farooq Sattar[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Syed Asif Hasnain[MQM]
Iqbal Muhammad Ali Khan[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Constitution (Twenty-second Amendment) Bill, 2014 (Amendment of Article 63)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,10,11,"Abdul Waseem[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Tahira Asif[MQM]","The Criminal Law (Amendment) Bill, 2014 (Substitution of section 489F and amendment in Schedule II)
[Support]",Private,Interior and Narcotics Control,
National,1,14,10,11,"Muhammad Safdar[PML-N]
Shahab-ud-Din Khan[PML-N]
Qaisar Ahmad Sheikh[PML-N]
Salman Hanif[PML-N]
Makhdoom Khusro Bakhtiar[PML-N]
Parveen Masood Bhatti[PML-N]
Seema Mohiuddin Jameeli[PML-N]
Leila Khan[PML-N]
Farhana Qamar[PML-N]
Iffat Liaqat[PML-N]
Marvi Memon[PML-N]
Begum Tahira Bukhari[PML-N]
Kiran Haider[PML-N]
Isphanyar M. Bhandara[PML-N]","The Acid and Burn Crime Bill, 2014
[Support]",Private,Interior and Narcotics Control,
National,1,14,10,11,"Siraj Muhammad Khan[PTI]
Dr. Muhammad Azhar Khan Jadoon[PTI]
Asad Umar[PTI]
Nafeesa Inayatullah Khan Khattak[PTI]","The Islamabad Rent Restriction (Amendment) Bill, 2014
[Support]",Private,Interior and Narcotics Control,
National,1,14,10,11,"S. A. Iqbal Qadri[MQM]
Abdul Waseem[MQM]
Sufyan Yousuf[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The National Database and Registration Authority (Amendment) Bill, 2014 (Amendment in sections 8, 10, 11 and 12)
[Support]",Private,Interior and Narcotics Control,
National,1,14,10,11,"Syed Waseem Hussain[MQM]
Sufyan Yousuf[MQM]
Syed Asif Hasnain[MQM]
Kishwer Zehra[MQM]","The Criminal Law (Amendment) Bill, 2014 (Substitution of section 379, amendment in Schedule II)
[Support]",Private,Interior and Narcotics Control,
National,1,14,10,11,"Khwaja Ghulam Rasool Koreja[PPPP]
Asghar Ali Shah[PPPP]
Dr. Azra Fazal Pecheho[PPPP]
Ms. Nafisa Shah[PPPP]","The National Air Transportation Safety Board Bill, 2014
[Support]",Private,Cabinet Secretariat,
National,1,14,10,11,"Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]","The Representation of the People (Amendment) Bill, 2014 (Amendment in sections 2, 24, 30, 33, 38 and 39, insertion of section 24-A, omission of sections 34, 35, 36 and 37)
[Support]",Private,Parliamentary Affairs,
National,1,14,10,11,"S. A. Iqbal Qadri[MQM]
Sufyan Yousuf[MQM]
Sajid Ahmed[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Representation of the People (Amendment) Bill, 2014 (Amendment in section 103AA)
[Support]",Private,Parliamentary Affairs,
National,1,14,11,1,Pervaiz Rashid[PML-N],"The Federal Judicial Academy (Amendment) Ordinance, 2014 (No. V of 2014)
[Support]",Government,"Law, Justice and Human Rights",
National,1,14,11,2,"Imran Khattak[PTI]
Ghulam Sarwar Khan[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]
Munaza Hassan[PTI]
Nafeesa Inayatullah Khan Khattak[PTI]","The Representation of the People (Amendment) Bill, 2014
[Support]",Private,Parliamentary Affairs,
National,1,14,11,2,Aasiya Nasir[JUI],"The Telegraph Amendment Bill, 2014 (Substitution of section 25-D)
[Support]",Private,Information Technology and Telecommunication,
National,1,14,11,2,"Muhammad Pervaiz Malik[PML-N]
Shaista Pervaiz[PML-N]
Asiya Naz Tanoli[PML-N]
Marvi Memon[PML-N]","The Child Protection System Bill, 2014 (Amendment in sections 8, 10, 11 and 12)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,11,2,Aasiya Nasir[JUI],"The Protection Against Harassment of Women at Workplace (Amendment) Bill, 2014
[Support]",Private,Human Rights,
National,1,14,11,2,Dr. Azra Fazal Pecheho[PPPP],"The Compulsory Blood Test for the Relatives of Thalassaemia Patients Bill, 2014
[Support]",Private,Cabinet Secretariat,
National,1,14,11,2,Aasiya Nasir[JUI],"The Suppression of Terrorist Activities (Special Courts) (Amendment) Bill, 2014 (Amendment in Schedule, Act XV of 1975)
[Support]",Private,Interior and Narcotics Control,
National,1,14,11,2,"Muhammad Gohar Shah[JUI]
Qari Muhammad Yousaf[JUI]
Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Agha Muhammad[JUI]
Ameer Zaman[JUI]
Mohammad Khan Sherani[JUI]
Sardar Kamal Khan Bangulzai[NP]
Romina Khurshid Alam[PML-N]
Phyllis Azeem[PML-N]
Reeta Ishwar[PML-F]
Shahida Akhtar Ali[JUI]
Naeema Kishwar Khan[JUI]
Mrs. Aliya Kamran[JUI]
Dr. Ramesh Kumar Vankwani[PML-N]
Aasiya Nasir[JUI]","The Constitution (Amendment) Bill, 2014 (Amendment in Article 37)
[Support]",Private,"Law, Justice and Human Rights",
National,2,14,12,1,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2014
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",
National,2,14,12,2,Pervaiz Rashid[PML-N],"The Service Tribunals (Amendment) Bill, 2014",Government,Not Applicable,
National,2,14,12,2,Pervaiz Rashid[PML-N],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2014",Government,Not Applicable,
National,2,14,12,2,Ch. Nisar Ali Khan[PML-N],"The Anti-terrorism (Amendment) Bill, 2014",Government,Not Applicable,
National,2,14,12,12,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2014
[Support]",Government,Not Applicable,
National,2,14,12,13,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2014
[Support]",Government,Not Applicable,
National,2,14,12,14,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2014",Government,Not Applicable,
National,2,14,13,1,Ch. Nisar Ali Khan[PML-N],"The Protection of Pakistan Bill, 2014",Government,Not Applicable,
National,2,14,14,1,Mohammad Ishaq Dar[PML-N],"The Equity Participation Fund (Repeal) Bill, 2014
[Support]",Government,Not Applicable,
National,2,14,14,1,Mohammad Ishaq Dar[PML-N],"The Foreign Exchange Regulation (Amendment) Bill, 2014
[Support]",Government,Not Applicable,
National,2,14,14,2,Mian Abdul Manan[PML-N],"The Islamabad Rent Restriction (Amendment) Bill, 2014 (Amendment in sections, 2, 5, 21, 23, substitution of sections 8 and 10 and insertion of new sections in Ordinance IV of 2001)
[Support]",Private,Not Applicable,
National,2,14,14,2,Khalida Mansoor[PML-N],"The Civil Servants (Amendment) Bill, 2014 (Amendment in section 5)
[Support]",Private,Not Applicable,
National,2,14,14,2,"S. A. Iqbal Qadri[MQM]
Sufyan Yousuf[MQM]
Abdul Rashid Godil[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]","The Criminal Law (Amendment) Bill, 2014 (Insertion of new sections 297-A and 297-B, Amendment in Schedule II)
[Support]",Private,Not Applicable,
National,2,14,14,2,"Dr. Azra Fazal Pecheho[PPPP]
Shazia Marri[PPPP]
Ms. Nafisa Shah[PPPP]","The Election Laws (Amendment) Bill, 2014 (Amendment in section 13 and 49, insertion of new section 51A and 7C)
[Support]",Private,Not Applicable,
National,2,14,14,2,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Protection of Journalists Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,14,2,"Shaikh Salahuddin[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Criminal Law (Amendment) Bill, 2014 (Substitution of section 297 and amendment in second schedule)
[Support]",Private,Not Applicable,
