Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee,
National,2,15,17,6,Dr. Abdul Hafeez Sheikh [Minister],"The Banks (Nationalization) (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,17,6,Ijaz Ahmad Shah[PTI],"The Mutual Legal Assistance (Criminal Matters) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,17,7,Abdul Shakoor Shad[PTI],"The Federal Public Service Commission (Validation of Rules) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,17,7,Shafqat Mehmood[PTI],"The University of Islamabad Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,17,7,Dr. Abdul Hafeez Sheikh [Minister],"The Banks (Nationalization) (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,17,7,Ijaz Ahmad Shah[PTI],"The Mutual Legal Assistance (Criminal Matters) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,17,7,Zartaj Gull[PTI],"The Global Change Impact Studies Centre (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Introduced
National,2,15,18,1,Shafqat Mehmood[PTI],"The Pakistan Academy of Letters (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Introduced
National,2,15,18,2,Shafqat Mehmood[PTI],"The University of Islamabad Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,2,Dr. Abdul Hafeez Sheikh [Minister],"The Banks (Nationalization) (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,2,Abdul Shakoor Shad[PTI],"The Federal Public Service Commission (Validation of Rules) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,2,Ijaz Ahmad Shah[PTI],"The Mutual Legal Assistance (Criminal Matters) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,3,Pervaiz Khattak[PTI],"The Pakistan Navy (Amendment) Bill, 2020
[Support]",Government,Not Applicable,Introduced
National,2,15,18,3,Pervaiz Khattak[PTI],"The Pakistan Air Force (Amendment) Bill, 2020
[Support]",Government,Not Applicable,Introduced
National,2,15,18,3,Pervaiz Khattak[PTI],"The Pakistan Army (Amendment) Bill, 2020
[Support]",Government,Not Applicable,Introduced
National,2,15,18,4,Shafqat Mehmood[PTI],"The University of Islamabad Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,4,Dr. Abdul Hafeez Sheikh [Minister],"The Banks (Nationalization) (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,4,Ali Muhammad Khan[PTI],"The Federal Public Service Commission (Validation of Rules) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,4,Ijaz Ahmad Shah[PTI],"The Mutual Legal Assistance (Criminal Matters) Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,5,Pervaiz Khattak[PTI],"The Pakistan Navy (Amendment) Bill, 2020",Government,Not Applicable,Passed
National,2,15,18,5,Pervaiz Khattak[PTI],"The Pakistan Air Force (Amendment) Bill, 2020",Government,Not Applicable,Passed
National,2,15,18,5,Pervaiz Khattak[PTI],"The Pakistan Army (Amendment) Bill, 2020",Government,Not Applicable,Passed
National,2,15,18,6,"Syed Naveed Qamar[PPPP]
Mohsin Shah Nawaz Ranjha[PML-N]
Amjid Ali Khan[PTI]
Nafeesa Inayatullah Khan Khattak[PTI]","The Pakistan Institute for Parliamentary Services (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,"Engineer Sabir Hussain[MQM]
Salah-ud-Din[MQM]
Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Usama Qadri[MQM]","The National Disaster Management (Amendment) Bill, 2018
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,"Engineer Sabir Hussain[MQM]
Salah-ud-Din[MQM]
Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Usama Qadri[MQM]","The Federal Universities (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,Syed Amin ul Haque[MQM],"The Pakistan Courier and Logistics Regulatory Authority Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,Shazia Marri[PPPP],"The Trained Paramedical Staff Facility Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,"Shazia Marri[PPPP]
Syed Naveed Qamar[PPPP]
Raja Pervez Ashraf[PPPP]","The Banking Companies (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,"Shazia Marri[PPPP]
Syed Naveed Qamar[PPPP]
Raja Pervez Ashraf[PPPP]","The Exit from Pakistan (Control) (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Apprenticeship (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National Counter Terrorism Authority (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Global Change Impact Studies Centre (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Shaheed Zulfiqar Ali Bhutto Medical University, Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Federal Ombudsmen Institutional Reforms (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamabad Capital Territory Private Educational Institutions (Registration & Regulation) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The My University Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The South Asian Strategic Stability Institute University Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Dar-ul-Madina International University Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Pakistan Academy of Letters (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Trade Development Authority of Pakistan (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Trade Organizations (Amendment) Bill, 2019 (Insertion of new Section 31A)
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Capital University of Science and Technology (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Anti-Dumping Duties (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Countervailing Duties (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National Tariff Commission (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Credit Bureaus (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamabad Capital Territory Local Government (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Plant Breeders Rights (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Deposit Protection Corporation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Corporate Restructuring Companies (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National Energy Efficiency and Conservation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Futures Market (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Publication of Laws of Pakistan (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Pakistan Health Research Council (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Gas (Theft Control and Recovery) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Pakistan Halal Authority (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamabad Subordinate Judiciary Service Tribunal (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Right of Access to Information (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Elections (Amendment) Bill, 2020 (Insertion of new section 16-A)
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Compulsory Teaching of Holy Quran (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Alternative Dispute Resolution (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Limited Liability Partnership (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Pakistan Council for Science and Technology (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Hindu Marriage (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Pakistan National Accreditation Council (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Benami Transactions (Prohibition) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Prevention of Trafficking in Person (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Sir -Syed Case (Centre for Advanced Studies in Engineering) Institute of Technology Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Institute for Art and Culture (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Institute of Science and Technology Bahawalpur (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Prevention of Smuggling of Migrants (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Health Services Academy (Restructuring) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamabad Healthcare Regulation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamabad Capital Territory Child Protection (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National Civic Education Commission (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Transgender Persons (Protection of Rights) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The COMSATS University Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Corporate Rehabilitation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National Skills University Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National University of Technology (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Marine Insurance (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Foreign Exchange (Prevention of Payments) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Transfer of Evacuee Land (Katchi Abadi) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Pakistan National Shipping Corporation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,6,"Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamic Development Bank (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]
Uzma Riaz[PTI]","The Juvenile Justice System (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Sher Akbar Khan[PTI],"The Criminal Laws (Amendment) Bill, 2020 (Section 427 to 429, 435 to 440, 447 to 458, 461, 462 and Schedule II of CrPC)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,"Rai Muhammad Murtaza Iqbal[PTI]
Zille Huma[PTI]
Asma Hadeed[PTI]
Mujahid Ali[PTI]
Imran Khattak[PTI]
Mehboob Shah[PTI]
Sajid Khan[PTI]
Jamshed Thomas[PTI]","The Minorities Access to Higher Education Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Naveed Aamir[PPPP],"The Islamabad High Court (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Withdrawn
National,2,15,18,6,Ghulam Bibi Bharwana[PTI],"The Institute for Bioresources Research Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,Nooreen Farooq Khan[PTI],"The Elections (Amendment) Bill, 2020 (Section 206 & 208)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Amjid Ali Khan[PTI],"The Criminal Laws (Amendment) Bill, 2020 (Section 292)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Syed Javed Hassnain[PML-N],"The Constitution (Amendment) Bill, 2020 (Article 140 - A)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,"Syed Iftikhar Ul Hassan[PML-N]
Rana Mubashir lqbal[PML-N]
Sardar Muhammad Irfan Dogar[PML-N]
Mohsin Shah Nawaz Ranjha[PML-N]
Shaza Fatima Khawaja[PML-N]","The Constitution (Amendment) Bill, 2020 (Amendment in Third Schedule)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Uzma Riaz[PTI],"The Women in Distress and Detention Fund (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Junaid Akbar[PTI],"The Constitution (Amendment) Bill, 2020 (Article 51)
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,Mrs. Shahida Rehmani[PPPP],"The Criminal Laws (Amendment) Bill, 2020 (Section 510)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Iftikhar Ul Hassan[PML-N]
Rana Mubashir lqbal[PML-N]
Syed Naveed Qamar[PPPP]
Sardar Muhammad Irfan Dogar[PML-N]
Mohsin Shah Nawaz Ranjha[PML-N]
Shaza Fatima Khawaja[PML-N]","The Constitution (Amendment) Bill, 2020 (Article 213)
[Support]",Private,Not Applicable,Withdrawn
National,2,15,18,6,Kesoo Mal Kheeal Das[PML-N],"The Constitution (Amendment) Bill, 2020 (Article 251)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,"Syed Iftikhar Ul Hassan[PML-N]
Rana Mubashir lqbal[PML-N]
Sardar Muhammad Irfan Dogar[PML-N]
Mohsin Shah Nawaz Ranjha[PML-N]
Shaza Fatima Khawaja[PML-N]","The Constitution (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,Junaid Akbar[PTI],"The Constitution (Amendment) Bill, 2020 (Article 223)
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,Uzma Riaz[PTI],"The Institute of Art and Culture (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,James Iqbal[MMA],"The Minorities Educational Seats Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Syed Javed Hassnain[PML-N],"The Constitution (Amendment) Bill, 2020 (Article 31)
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,"Syed Amin ul Haque[MQM]
Engineer Sabir Hussain[MQM]
Salah-ud-Din[MQM]
Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Usama Qadri[MQM]","The Constitution (Amendment) Bill, 2020 (Articles 1, 51, 59, 106, 175A, 198 and 218)
[Support]",Private,Not Applicable,Deferred
National,2,15,18,6,"Syed Iftikhar Ul Hassan[PML-N]
Rana Mubashir lqbal[PML-N]
Sardar Muhammad Irfan Dogar[PML-N]
Mohsin Shah Nawaz Ranjha[PML-N]
Shaza Fatima Khawaja[PML-N]","The Constitution (Amendment) Bill, 2020 (Article 89)
[Support]",Private,Not Applicable,Withdrawn
National,2,15,18,6,"Raja Khurram Shahzad Nawaz[PTI]
Zille Huma[PTI]
Rana Muhammad Qasim Noon[PTI]
Asma Hadeed[PTI]
Faheem Khan[PTI]
Imran Khattak[PTI]
Atta Ullah[PTI]
Nafeesa Inayatullah Khan Khattak[PTI]
Fauzia Behram[PTI]
Shahid Ahmad[PTI]
Shandana Gulzar Khan[PTI]
Ali Nawaz Awan[PTI]","The Right to Free and Compulsory Education (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,6,Amjid Ali Khan[PTI],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Introduced
National,2,15,18,7,Shafqat Mehmood[PTI],"The University of Islamabad Bill, 2019
[Support]",Government,Not Applicable,Deferred
National,2,15,18,7,Dr. Abdul Hafeez Sheikh [Minister],"The Banks (Nationalization) (Amendment) Bill, 2019
[Support]",Government,Not Applicable,Deferred
National,2,15,18,7,Abdul Shakoor Shad[PTI],"The Federal Public Service Commission (Validation of Rules) Bill, 2019
[Support]",Government,Not Applicable,Deferred
National,2,15,18,7,Dr. Abdul Hafeez Sheikh [Minister],"The SBP Banking Services Corporation (SBP BSC) (Amendment) Bill, 2020
[Support]",Government,Not Applicable,Introduced
National,2,15,18,8,Dr. Shireen Mehrunnisa Mazari[PTI],"The ICT Rights of Persons with Disability Bill, 2018",Government,Not Applicable,Passed
National,2,15,18,8,Dr. Shireen Mehrunnisa Mazari[PTI],"The Zainab Alert, Response and Recovery Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,8,Ali Muhammad Khan[PTI],"The Superior Courts (Code Dress and Mode of Address) Order (Repeal), Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,8,Ali Muhammad Khan[PTI],"The Enforcement of Women’s Property Rights Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,8,Ali Muhammad Khan[PTI],"The Legal Aid and Justice Authority Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,8,Ali Muhammad Khan[PTI],"The Letters of Administration and Succession Certificates Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,9,Shafqat Mehmood[PTI],"The University of Islamabad Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,9,Dr. Abdul Hafeez Sheikh [Minister],"The Banks (Nationalization) (Amendment) Bill, 2019",Government,Not Applicable,Passed
National,2,15,18,9,Ali Muhammad Khan[PTI],"The Federal Public Service Commission (Validation of Rules) Bill, 2019
[Support]",Government,Not Applicable,Not Taken Up
National,2,15,18,9,"Muhammad Farogh Nasim[MQM]
Muhammad Azam Khan Swati[PTI]","The Whistleblower Protection and Vigilance Commission Bill, 2019
[Support]",Government,Not Applicable,Referred the bill to Committee
National,2,15,18,9,Ch. Tariq Bashir Cheema[PML],"The Federal Government Employees Housing Authority Bill, 2020",Government,Not Applicable,Passed
National,2,15,18,9,Noor-ul-Haq Qadri[PTI],"The Protection of Communal Properties of Minorities (Amendment) Bill, 2020
[Support]",Government,Not Applicable,Introduced
National,2,15,18,10,Mrs. Aliya Kamran[MMA],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,Mrs. Aliya Kamran[MMA],"The National Commission on the Status of Women (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,"Engineer Sabir Hussain[MQM]
Salah-ud-Din[MQM]
Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Usama Qadri[MQM]","The National Disaster Management (Amendment) Bill, 2018
[Support]",Private,Not Applicable,Introduced
National,2,15,18,10,"Engineer Sabir Hussain[MQM]
Salah-ud-Din[MQM]
Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Usama Qadri[MQM]","The Federal Universities (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,Syed Amin ul Haque[MQM],"The Pakistan Courier and Logistics Regulatory Authority Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,Shazia Marri[PPPP],"The Trained Paramedical Staff Facility Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,"Shazia Marri[PPPP]
Syed Naveed Qamar[PPPP]
Raja Pervez Ashraf[PPPP]","The Banking Companies (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,"Shazia Marri[PPPP]
Syed Naveed Qamar[PPPP]
Raja Pervez Ashraf[PPPP]","The Exit from Pakistan (Control) (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,"Syed Naveed Qamar[PPPP]
Mohsin Shah Nawaz Ranjha[PML-N]
Amjid Ali Khan[PTI]
Nafeesa Inayatullah Khan Khattak[PTI]","The Pakistan Institute for Parliamentary Services (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Apprenticeship (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The National Counter Terrorism Authority (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Global Change Impact Studies Centre (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Shaheed Zulfiqar Ali Bhutto Medical University, Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Federal Ombudsmen Institutional Reforms (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The Islamabad Capital Territory Private Educational Institutions (Registration & Regulation) (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
National,2,15,18,10,"Syed Fakhar Imam[PTI]
Riaz Fatyana[PTI]
Amjid Ali Khan[PTI]","The My University Islamabad (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Deferred
