Id,Label,Latest_Party,Total_Bills,Government_Bills,Private_Bills
Muhammad Rehan Hashmi,Muhammad Rehan Hashmi,MQM,10,0,10
Muhammad Azam Khan Swati,Muhammad Azam Khan Swati,PTI,10,9,1
Sajid Hussain Turi,Sajid Hussain Turi,PPPP,10,8,2
Naveed Amir,Naveed Amir,PPPP,9,0,9
Mr. Kamran Michael,Mr. Kamran Michael,PML-N,9,9,0
Abdul Rashid Godil,Abdul Rashid Godil,MQM,9,0,9
Muhammad Kamal Malik,Muhammad Kamal Malik,MQM,9,0,9
Qaisar Ahmad Sheikh,Qaisar Ahmad Sheikh,PML-N,9,0,9
Aamer Mehmood Kiyani,Aamer Mehmood Kiyani,PTI,9,8,1
Shandana Gulzar Khan,Shandana Gulzar Khan,PTI,9,0,9
Rai Muhammad Murtaza Iqbal,Rai Muhammad Murtaza Iqbal,PTI,9,0,9
Muhammad Mian Soomro,Muhammad Mian Soomro,PTI,9,9,0
Ameer Zaman,Ameer Zaman,JUI,9,0,9
Zubaida Jalal,Zubaida Jalal,BAP,9,6,3
Mumtaz Ahmad Tarar,Mumtaz Ahmad Tarar,PML-N,9,8,1
Sohail Sultan,Sohail Sultan,SIC,9,0,9
Aftab Jehangir,Aftab Jehangir,PTI,8,0,8
Muhammad Talha Mehmood,Muhammad Talha Mehmood,JUI-F,8,8,0
Fauzia Behram,Fauzia Behram,PTI,8,0,8
Abdul Shakoor,Abdul Shakoor,MMA,8,5,3
Siraj Muhammad Khan,Siraj Muhammad Khan,PTI,8,0,8
Abdul Qadir Baloch,Abdul Qadir Baloch,PML-N,8,8,0
Dr. Seemin Abdul Rehman Bokhari,Dr. Seemin Abdul Rehman Bokhari,PTI,8,0,8
Ch. Tariq Bashir Cheema,Ch. Tariq Bashir Cheema,PML,8,8,0
Seema Mohiuddin Jameeli,Seema Mohiuddin Jameeli,PML-N,7,0,7
Syed Hussain Tariq,Syed Hussain Tariq,PPPP,7,0,7
Saira Afzal Tarar,Saira Afzal Tarar,PML-N,7,7,0
Kiran Imran,Kiran Imran,PML-N,7,0,7
Parveen Masood Bhatti,Parveen Masood Bhatti,PML-N,7,0,7
Babar Nawaz Khan,Babar Nawaz Khan,PML-N,7,0,7
Anusha Rahman Ahmad Khan,Anusha Rahman Ahmad Khan,PML-N,7,7,0
Kanwar Naveed Jamil,Kanwar Naveed Jamil,MQM,7,0,7
Ramesh Lal,Ramesh Lal,PPPP,7,0,7
Dr. Muhammad Afzal Khan Dhandla,Dr. Muhammad Afzal Khan Dhandla,PTI,7,0,7
Rao Muhammad Ajmal Khan,Rao Muhammad Ajmal Khan,PML-N,7,0,7
Zartaj Gull,Zartaj Gull,PTI,6,6,0
Haider Ali,Haider Ali,PTI,6,0,6
Nawab Muhammad Yousuf Talpur,Nawab Muhammad Yousuf Talpur,PPPP,6,0,6
Asad Mehmood,Asad Mehmood,MMA,6,6,0
Muhammad Pervaiz Malik,Muhammad Pervaiz Malik,PML-N,6,4,2
Fawad Ahmed,Fawad Ahmed,PTI,6,6,0
Ghulam Sarwar Khan,Ghulam Sarwar Khan,PTI,6,5,1
Sahibzada Sibghatullah,Sahibzada Sibghatullah,SIC,6,0,6
Farrukh Khan,Farrukh Khan,PML,6,0,6
Agha Hassan Baloch,Agha Hassan Baloch,BNP-M,6,2,4
Bilal Azhar Kayani,Bilal Azhar Kayani,PML-N,6,0,6
Shahida Rehmani,Shahida Rehmani,PPPP,6,0,6
Syed Ali Haider Zaidi,Syed Ali Haider Zaidi,PTI,6,6,0
Umar Ayub Khan,Umar Ayub Khan,PTI,6,3,3
Ch. Mahmood Bashir Virk,Ch. Mahmood Bashir Virk,PML-N,6,6,0
Muhammad Raza Hayat Hiraj,Muhammad Raza Hayat Hiraj,PML-N,6,0,6
Miftah Ismail,Miftah Ismail,PML-N,5,5,0
Mohammad Khan Sherani,Mohammad Khan Sherani,JUI,5,0,5
Khalid Hussain Magsi,Khalid Hussain Magsi,BAP,5,0,5
Ghous Bux Khan Mahar,Ghous Bux Khan Mahar,GDA,5,0,5
Agha Muhammad,Agha Muhammad,JUI,5,0,5
Ghulam Bibi Bharwana,Ghulam Bibi Bharwana,PTI,5,0,5
Syed Khursheed Ahmed Shah,Syed Khursheed Ahmed Shah,PPPP,5,1,4
Sadaqat Ali Khan,Sadaqat Ali Khan,PTI,5,0,5
Syed Mehmood Shah,Syed Mehmood Shah,MMA,5,0,5
Awais Ahmad Khan Leghari,Awais Ahmad Khan Leghari,PML-N,5,4,1
Ch. Muhammad Ashraf,Ch. Muhammad Ashraf,PML-N,5,0,5
Bhawan Das,Bhawan Das,PML-N,5,0,5
Amirullah,Amirullah,PTI,5,0,5
Rai Hasan Nawaz Khan,Rai Hasan Nawaz Khan,PTI,5,0,5
Atta Ullah,Atta Ullah,PTI,5,0,5
Aaisha Gulalai,Aaisha Gulalai,PTI,5,0,5
Sardar Muhammad Irfan Dogar,Sardar Muhammad Irfan Dogar,PML-N,5,0,5
Muhammad Aurangzeb,Muhammad Aurangzeb,PML-N,5,5,0
Farhana Qamar,Farhana Qamar,PML-N,5,0,5
Isphanyar M. Bhandara,Isphanyar M. Bhandara,PML-N,5,0,5
Saleh Muhammad,Saleh Muhammad,PTI,5,0,5
Shahnaz Saleem Malik,Shahnaz Saleem Malik,PML-N,5,0,5
Nausheen Hamid,Nausheen Hamid,PTI,5,5,0
Muhammad Safdar,Muhammad Safdar,PML-N,4,0,4
Shahab-ud-Din Khan,Shahab-ud-Din Khan,PML-N,4,0,4
Mussarat Ahmadzeb,Mussarat Ahmadzeb,PTI,4,0,4
Zeb Jaffar,Zeb Jaffar,PML-N,4,0,4
Asia Naz Tanoli,Asia Naz Tanoli,PML-N,4,0,4
Kiran Haider,Kiran Haider,PML-N,4,0,4
Mehboob Shah,Mehboob Shah,PTI,4,0,4
Imran Khan,Imran Khan,PTI,4,0,4
Begum Tahira Bukhari,Begum Tahira Bukhari,PML-N,4,0,4
Makhdoom Khusro Bakhtiar,Makhdoom Khusro Bakhtiar,PTI,4,2,2
Syed Iftikhar Ul Hassan,Syed Iftikhar Ul Hassan,PML-N,4,0,4
Rana Mubashir lqbal,Rana Mubashir lqbal,PML-N,4,0,4
Zahid Akram Durani,Zahid Akram Durani,MMA,4,0,4
Shunila Ruth,Shunila Ruth,PTI,4,0,4
Noor Ul Hassan Tanvir,Noor Ul Hassan Tanvir,PML-N,4,0,4
Muhammad Gohar Shah,Muhammad Gohar Shah,JUI,4,0,4
Murad Saeed,Murad Saeed,PTI,4,1,3
Zille Huma,Zille Huma,PTI,4,0,4
Sofia Saeed Shah,Sofia Saeed Shah,MQM,4,0,4
Qaisar Jamal,Qaisar Jamal,PTI,4,0,4
Mujahid Ali,Mujahid Ali,PTI,4,0,4
Imran Zafar Leghari,Imran Zafar Leghari,PPPP,4,0,4
Khawaja Sohail Mansoor,Khawaja Sohail Mansoor,MQM,4,0,4
Shakila Luqman,Shakila Luqman,PML-N,4,0,4
Sardar Akhter Jan Mengal,Sardar Akhter Jan Mengal,BNP-M,4,0,4
Nafisa Shah,Nafisa Shah,PPPP,4,0,4
Dr. Darshan,Dr. Darshan,PML-N,4,0,4
Nasir Khan Khattak,Nasir Khan Khattak,PTI,4,0,4
Shah Jee Gul Afridi,Shah Jee Gul Afridi,IND,4,0,4
Muhammad Akram,Muhammad Akram,PTI,4,0,4
Phyllis Azeem,Phyllis Azeem,PML-N,4,0,4
Kesoo Mal Kheal Das,Kesoo Mal Kheal Das,PML-N,4,0,4
Shehryar Afridi,Shehryar Afridi,PTI,4,0,4
Syed Sajid Mehdi,Syed Sajid Mehdi,PML-N,4,0,4
Raja Riaz Ahmad,Raja Riaz Ahmad,PTI,4,0,4
Ghulam Muhammad Lali,Ghulam Muhammad Lali,PTI,4,0,4
Malik Nawab Sher Waseer,Malik Nawab Sher Waseer,PTI,4,0,4
Danyal Chaudhry,Danyal Chaudhry,PML-N,4,0,4
Sikandar Hayat Khan Bosan,Sikandar Hayat Khan Bosan,PML-N,4,4,0
Abdul Aleem Khan,Abdul Aleem Khan,IPP,3,3,0
Anjum Aqeel Khan,Anjum Aqeel Khan,PML-N,3,0,3
Syed Shibli Faraz,Syed Shibli Faraz,PTI,3,3,0
Usama Ahmed Mela,Usama Ahmed Mela,SIC,3,0,3
Khalida Mansoor,Khalida Mansoor,PML-N,3,0,3
Shakila Khalid Chaudhary,Shakila Khalid Chaudhary,PML-N,3,0,3
Sehar Kamran,Sehar Kamran,PPPP,3,0,3
Muhammad Ibrahim Khan,Muhammad Ibrahim Khan,PTI,3,0,3
Afreen Khan,Afreen Khan,MMA,3,0,3
Lal Chand Malhi,Lal Chand Malhi,PTI,3,0,3
Muhammad Mobeen Arif,Muhammad Mobeen Arif,SIC,3,0,3
Usman Khan Tarrakai,Usman Khan Tarrakai,PTI,3,0,3
Ahmad Hussain,Ahmad Hussain,PTI,3,0,3
Jamshed Thomas,Jamshed Thomas,PTI,3,0,3
Nighat Parveen,Nighat Parveen,PML-N,3,0,3
Qari Muhammad Yousaf,Qari Muhammad Yousaf,JUI,3,0,3
