"Name","Party","Degree","EI_Index"
"Saleh Muhammad","PTI",18,0.0588235294117647
"Shahnaz Saleem Malik","PML-N",14,-0.142857142857143
"Muhammad Safdar","PML-N",28,-0.407407407407407
"Shahab-ud-Din Khan","PML-N",19,-0.555555555555556
"Mussarat Ahmadzeb","PTI",5,1
"Zeb Jaffar","PML-N",4,-1
"Kiran Haider","PML-N",28,-0.407407407407407
"Mehboob Shah","PTI",7,-1
"Imran Khan","PTI",16,-1
"Begum Tahira Bukhari","PML-N",28,-0.407407407407407
"Makhdoom Khusro Bakhtiar","PTI",18,0.764705882352941
"Syed Iftikhar Ul Hassan","PML-N",5,-0.6
"Rana Mubashir lqbal","PML-N",5,-0.6
"Zahid Akram Durani","MMA",14,-0.384615384615385
"Shunila Ruth","PTI",21,-0.619047619047619
"Muhammad Gohar Shah","JUI",20,-0.142857142857143
"Murad Saeed","PTI",7,-0.714285714285714
"Zille Huma","PTI",28,-0.714285714285714
"Qaisar Jamal","PTI",15,-1
"Mujahid Ali","PTI",23,-0.272727272727273
"Imran Zafar Leghari","PPPP",21,0.444444444444444
"Khawaja Sohail Mansoor","MQM",22,-1
"Sardar Akhter Jan Mengal",NA,4,NA
"Dr. Darshan","PML-N",15,0.333333333333333
"Shah Jee Gul Afridi","IND",19,0.789473684210526
"Muhammad Akram","PTI",9,-0.111111111111111
"Phyllis Azeem","PML-N",30,0.0769230769230769
"Kesoo Mal Kheal Das","PML-N",5,-0.2
"Shehryar Afridi","PTI",11,-1
"Syed Sajid Mehdi","PML-N",18,0.222222222222222
"Raja Riaz Ahmad","PTI",9,-0.111111111111111
"Malik Nawab Sher Waseer","PTI",21,0
"Usama Ahmed Mela","SIC",2,-1
"Shakila Khalid Chaudhary","PML-N",6,0.2
"Muhammad Ibrahim Khan","PTI",42,-0.476190476190476
"Afreen Khan","MMA",21,-0.1
"Lal Chand Malhi","PTI",10,1
"Muhammad Mobeen Arif","SIC",2,-1
"Usman Khan Tarrakai","PTI",17,0
"Ahmad Hussain","PTI",1,1
"Jamshed Thomas","PTI",7,-1
"Nighat Parveen","PML-N",6,-1
"Qari Muhammad Yousaf","JUI",20,-0.142857142857143
"Mehmood Khan Achakzai",NA,14,NA
"Syed Qazim Ali Shah",NA,14,NA
"Syed Imran Ahmad Shah","PML-N",7,-0.714285714285714
"Leila Khan","PML-N",13,-0.846153846153846
"Muhammad Ali Rashid","MQM",16,-0.75
"Tariq Fazal Chaudhry","PML-N",4,-1
"Abdul Shakoor Shad","PTI",3,-1
"Aslam Bodla","PML-N",13,-0.0769230769230769
"Prince Muhammad Nawaz Allai","PTI",18,0.0588235294117647
"Dr. Hafeez Ur Rehman Khan","PML-N",13,-0.0769230769230769
"Nuzhat Pathan","PTI",4,-1
"Aqibullah","PTI",11,-1
"Maulvi Asmatullah","MMA",14,-0.384615384615385
"Usman Ibrahim","PML-N",1,-1
"Makhdoom Syed Sami-ul-Hassan Gillani","PTI",17,-0.411764705882353
"Tariq Christopher Qaiser","PML-N",5,-0.5
