"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Sher Akbar Khan","JI",45,0.0777670727059283,0.260667903525046,0.000820347357527044,0.00675658856977381,35
"Surriya Asghar","PML-N",5,0.000142174082885673,0.204363636363636,6.09113138122576e-08,0.00176785022805702,35
"Abdul Waseem","MQM",39,0.00212543202382262,0.16716240333135,1.64458897994894e-05,0.00746685033213872,34
"Sanjay Perwani","MQM",39,0.0137154600625315,0.217660728117738,1.37189277048502e-05,0.00600912439579246,34
"Dr. Azra Fazal Pecheho","PPPP",18,0.00521989498994948,0.122014763352149,5.08417012934654e-06,0.00289372549793895,34
"Asiya Azeem","PTI",3,0,0.0755376344086021,6.87454131221558e-06,0.00251054344386084,33
"Pervaiz Khattak","PTI",2,0,NA,0,0.00294117647059922,32
"Raja Pervez Ashraf","PPPP",4,0,0.0178163834643672,0.000271196456021067,0.00345501811660801,32
"Dr. Khalid Maqbool Siddiqui","MQM",33,0.000291884848359687,0.148834745762712,2.05177350969005e-05,0.00505187051505545,31
"Ch. Nisar Ali Khan","PML-N",2,0,NA,0,0.00294117647059922,30
"Rana Sana Ullah Khan","PML-N",19,0.028417615282195,0.192994505494506,0.00051343128223258,0.00477914716606674,29
"Nusrat Wahid","PTI",4,2.67236111948401e-05,0.212717638152914,5.35043246147777e-06,0.00218176940570422,28
"Shaista Pervaiz","PML-N",23,0.000157092737079122,0.161587119033928,9.12347318658718e-05,0.00371264496750746,28
"Aisha Syed","JI",14,0.000327910745053833,0.2,2.06443488671692e-05,0.00443420181563487,28
"Sheikh Rasheed Ahmad","AMLP",2,0,NA,0,0.00294117647059922,28
"Sufyan Yousuf","MQM",26,0.000264360038210646,0.165002935995302,9.13673547201239e-06,0.00289604828710121,27
"Murtaza Javed Abbasi","PML-N",10,0,0.156024430871738,0.00071154503855138,0.00212464227713619,27
"Syed Ali Raza Abidi","MQM",31,0.0150945962907131,0.212556732223903,1.20905150187675e-05,0.00535210669496129,27
"Sahibzada Tariq Ullah","JI",24,0.00317170818232348,0.22679580306699,2.20574679697802e-05,0.00509865687086334,27
"Syed Naveed Qammar","PPPP",4,0,0.0917401240613777,2.53820211280382e-07,0.0016928534832238,26
"Sahib Zada Muhammad Yaqub","JI",14,0.000327910745053833,0.2,2.06443488671635e-05,0.00443420181563261,26
"Khawaja Saad Rafique","PML-N",12,0.00139327306055315,0.168971737823211,0.000130429317168844,0.00372602418907427,25
"Salah Ud Din Ayubi","MMA",24,0.00391307840441492,0.207686622320769,7.80478382876915e-05,0.00651142371081116,24
"Zahra Wadood Fatemi","PML-N",26,0.0105776185230593,0.243923611111111,2.7964382525991e-05,0.00296792148986772,24
"Abdul Qadir Patel","PPPP",8,0.0101204857509036,0.207686622320769,0.000596230200067787,0.00264114849895061,23
"Jam Abdul Karim Bijar","PPPP",4,0,0.0564370355493071,6.40671634250227e-06,0.0024588440069908,23
"Muhammad Baleegh-ur-Rehman","PML-N",2,0,NA,0,0.00294117647059922,23
"Muhammad Hammad Azhar","PTI",4,0.00488732959801714,0.0778393351800554,7.6048550818865e-11,0.00199599568674063,23
"Marvi Memon","PML-N",21,0.0100123633772663,0.226612903225806,2.51670818238233e-07,0.002810893347103,23
"Dr. Zulfiqar Ali Bhatti","PML-N",11,0.00063526226894389,0.198166431593794,1.36917185666269e-06,0.00225252244814798,23
"Jamshaid Ahmad Dasti","IND",10,0.00212352812469865,0.197470133520731,1.60399694820159e-06,0.0012642170300472,22
"Makhdoom Shah Mahmood Qureshi","PTI",23,0.0142792356462246,0.223548130469372,6.13052624402782e-06,0.00462082304361371,22
"Nooreen Farooq Khan","PTI",31,0.00970757333315186,0.233001658374793,0.00165950800220129,0.00282822845928695,22
"Mohammad Ayaz Soomro","PPPP",3,0,1,0,0.00505088111195303,22
"Noor-ul-Haq Qadri","PTI",2,0,NA,0,0.00294117647059922,22
"Mehboob Alam","MQM",28,0,0.128076572470374,1.15665704026495e-05,0.00506307594041745,21
"Syed Waseem Hussain","MQM",28,2.00427993548242e-05,0.146430432516936,1.16922525406674e-05,0.00506808802028288,21
"Asma Hadeed","PTI",42,0.0111221271509245,0.246707638279192,0.000983705116672791,0.00580887193262158,21
"Syed Mohsin Raza Naqvi","IND",2,0,NA,0,0.00294117647059922,21
"Wajiha Akram","PTI",2,0,NA,0,0.00294117647059922,21
"Mehnaz Akber Aziz","PML-N",29,0.0122593249034898,0.249113475177305,0.0030167747643603,0.00217246707969562,21
"Ahsan Iqbal","PML-N",10,0,0.156024430871738,0.000716160659920853,0.00239100598444662,20
"Shahid Khaqan Abbasi","PML-N",12,0.00139327306055315,0.168971737823211,0.000136351006127157,0.00392286661159326,20
"Romina Khurshid Alam","PML-N",34,0.0316657660734115,0.253610108303249,0.000823488825813018,0.00415000026182437,19
"Ali Nawaz Awan","PTI",36,0.0313184749268192,0.255686988171065,0.00505953096872176,0.00350252518081771,19
"Mohammad Salman Khan Baloch","MQM",25,0.00202870835754326,0.168162776780371,9.20344103844534e-06,0.00308727265113909,19
"Muhammad Aslam Khan","PTI",2,0,NA,0,0.00294117647059922,19
"Rana Muhammad Qasim Noon","PTI",28,0.0020515540386868,0.219874804381847,0.000106410415434544,0.00276507977353614,18
"Shahida Akhtar Ali","JUI",43,0.0116664754991706,0.229575163398693,6.99837757985263e-05,0.00544413222824509,18
"Munaza Hassan","PTI",21,0.0129485099945131,0.222134387351779,3.77717830321763e-05,0.00323155668957137,18
"Ali Gohar Khan","PML-N",4,0.000477077990125415,0.136673151750973,5.80518140599635e-08,0.00108004932397605,17
"Mohammad Aslam Bhootani","IND",3,0,1,0,0.00538020086085071,17
"Sher Ali Arbab","PTI",19,0.00569656055172028,0.238337574215437,0.000816715824485738,0.00197797705650405,17
"Faheem Khan","PTI",25,0.00242024108764371,0.239556692242114,4.57586189061747e-05,0.00181516616012132,17
"Dr. Muhammad Farooq Sattar","MQM",32,0.0169482915677116,0.176507537688442,7.58614576249355e-06,0.00496753872143642,16
"Aasiya Nasir","JUI",24,0.0246581788176617,0.239761092150171,2.73744669614924e-06,0.00267540626825616,16
"Faiz Ullah","PTI",2,0,NA,0,0.00294117647059922,16
"Mrs. Mahreen Razaque Bhutto","PPPP",3,0,0.0834323040380048,1.07393243013248e-08,0.00151419951358611,16
"Asiya Naz Tanoli","PML-N",21,0.00220263637828802,0.201433691756272,8.74172775489687e-07,0.00221372291872402,15
"Samina Matloob","PML-N",26,0.0169266879127042,0.244773519163763,2.8834076103301e-05,0.00272171642835421,15
"Rana Muhammad Afzal Khan","PML-N",2,0,NA,0,0.00294117647059922,15
"Sharmila Sahiba Faruqui Hashaam","PPPP",3,0,1,0,0.00505088111195303,15
"Raja Khurram Shahzad Nawaz","PTI",34,0.0279293989162152,0.257090576395242,0.00425473422249918,0.00326095524692196,14
"Imran Khattak","PTI",46,0.0444446709970411,0.244773519163763,0.00190498362809796,0.00475151183666036,14
"Shahadat Awan","PPPP",1,0,0.126747857465043,8.68038118516605e-11,0.00076839360208569,14
"Musadik Masood Malik","IND",2,0,NA,0,0.00294117647059922,13
"Choudhary Faqir Ahmad","PML-N",13,3.49094971286939e-05,0.121016365202412,2.07994457388616e-05,0.00262120261977972,13
"Maj. Retd. Tahir Iqbal","PML-N",6,0,0.132422243166824,6.39454588223413e-12,0.00341677647774601,13
"Syed Asif Hasnain","MQM",30,0.0048588035241626,0.207840236686391,5.92751911866423e-06,0.0030222070194397,12
"Malik Muhammad Aamir Dogar","IND",19,0.000782022372103751,0.19500346981263,8.69764109549042e-05,0.00229714523599055,12
"Junaid Akbar","PTI",17,0.00134841245810627,0.19609211444522,4.38866398646844e-06,0.00279219361630055,11
"Muhammad Sana Ullah Khan Masti Khel","PTI",24,0.00120070127499612,0.22679580306699,0.00168556049233779,0.00257925249192833,11
"Ali Khan Jadoon","PTI",36,0.00496899682209267,0.241408934707904,0.000166773446496039,0.00393869204135136,11
"Dr. Shazia Sobia","PPPP",2,0,NA,0,0.00294117647059922,11
"Jai Parkash","PTI",7,0,0.105440900562852,1.00430468156389e-05,0.00125403512449975,11
"Rana Iradat Sharif Khan","PML-N",19,0.000435012574388002,0.226612903225806,0.00161911579619226,0.00186058196807148,11
"Dr. Arif Alvi","PTI",25,0.00668491033196139,0.224261771747805,3.60527994550284e-05,0.00487666833625377,11
"Muhammad Rehan Hashmi","MQM",22,0.011836220116659,0.188844086021505,6.21163484376776e-06,0.00214543344864494,10
"Muhammad Azam Khan Swati","PTI",9,0.0303088464673243,0.165294117647059,5.91023176584361e-06,0.000664417371520954,10
"Sajid Hussain Turi","PPPP",5,0,0.159568427030097,1.33573704254614e-09,0.00227117557249856,10
"Naveed Amir","PPPP",10,0.0193922256549894,0.159026598754952,1.72984249627482e-10,0.00393127839427889,9
"Mr. Kamran Michael","PML-N",2,0,NA,0,0.00294117647059922,9
"Abdul Rashid Godil","MQM",20,0,0.131247080803363,5.39195071534627e-06,0.00212890435191058,9
"Muhammad Kamal Malik","MQM",24,1.60001861839847e-05,0.151891891891892,6.29374493113355e-06,0.00317339991001818,9
"Qaisar Ahmad Sheikh","PML-N",25,0.0547556004637279,0.240788346186804,1.99790661156563e-06,0.00198570552063637,9
"Aamer Mehmood Kiyani","PTI",6,6.2304413035347e-05,0.229013854930725,0.000811818320644793,0.00110070490447594,9
"Shandana Gulzar Khan","PTI",13,0.000172067766928938,0.218677042801556,0.000129621683867949,0.00129174545328737,9
"Rai Muhammad Murtaza Iqbal","PTI",28,0.0148008599152243,0.240994854202401,0.00159256256818404,0.00212673605573783,9
"Muhammad Mian Soomro","PTI",2,0,NA,0,0.00294117647059922,9
"Ameer Zaman","JUI",17,0.000464843879990216,0.226065969428801,1.83764661043889e-06,0.00196877908082116,9
"Zubaida Jalal","BAP",2,0,NA,0,0.00294117647059922,9
"Mumtaz Ahmad Tarar","PML-N",2,0,NA,0,0.00294117647059922,9
"Sohail Sultan","SIC",2,0,NA,0,0.00294117647059922,9
"Aftab Jehangir","PTI",19,0,0.122014763352149,8.47765715276861e-05,0.00300501792982096,8
"Muhammad Talha Mehmood","JUI-F",2,0,NA,0,0.00294117647059922,8
"Fauzia Behram","PTI",21,0.000714410426473242,0.220046985121378,3.77125498805294e-05,0.00320603681130571,8
"Abdul Shakoor","MMA",16,0.000953149581698774,0.212878787878788,5.98663941635935e-06,0.001792334915253,8
"Siraj Muhammad Khan","PTI",5,7.60289295472513e-05,0.209701492537313,1.09629933809492e-05,0.00103373344871302,8
"Abdul Qadir Baloch","PML-N",2,0,NA,0,0.00294117647059922,8
