Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Dr. Nikhat Shakeel Khan,Sajid Ahmed,21,Undirected,21,0,1,0,21,1;2;4;5,14,2,"Law, Justice and Human Rights;Parliamentary Affairs"
Marriyum Aurangzeb,Marriyum Aurangzeb,21,Undirected,21,0,1,16,5,1;3;5,14;15,0,
Ali Khan Jadoon,Uzma Riaz,21,Undirected,21,0,1,0,21,1;2;3,15,0,
Dr. Nikhat Shakeel Khan,Mehboob Alam,21,Undirected,21,0,1,0,21,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Khalid Maqbool Siddiqui,Dr. Nikhat Shakeel Khan,21,Undirected,21,0,1,0,21,1;3;4;5,14,1,Cabinet Secretariat
Dr. Fouzia Hameed,Mehboob Alam,21,Undirected,21,0,1,0,21,3;4;5,14,0,
Kishwer Zehra,Mohammad Salman Khan Baloch,21,Undirected,21,0,1,0,21,1;2;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Syed Amin ul Haque,Usama Qadri,20,Undirected,20,0,1,0,20,1;2,15,0,
Shaza Fatima Khawaja,Shaza Fatima Khawaja,20,Undirected,20,0,1,0,20,2;3,14;15,0,
Dr. Fouzia Hameed,Saman Sultana Jafri,20,Undirected,20,0,1,0,20,3;4;5,14,1,Law and Justice
Mehboob Alam,Syed Waseem Hussain,20,Undirected,20,0,1,0,20,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Makhdoom Shah Mahmood Qureshi,Makhdoom Shah Mahmood Qureshi,20,Undirected,20,0,1,16,4,1;2;4,14;15,0,
Muhammad Muzammil Qureshi,Sanjay Perwani,20,Undirected,20,0,1,0,20,2;3;4;5,14,1,"Law, Justice and Human Rights"
Sajid Ahmed,Shaikh Salahuddin,20,Undirected,20,0,1,0,20,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Waseem,Mehboob Alam,20,Undirected,20,0,1,0,20,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Salah Ud Din Ayubi,Salah Ud Din Ayubi,19,Undirected,19,0,1,0,19,1;5,15,0,
S. A. Iqbal Qadri,Syed Ali Raza Abidi,19,Undirected,19,0,1,0,19,1;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Nikhat Shakeel Khan,Iqbal Muhammad Ali Khan,19,Undirected,19,0,1,0,19,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Iqbal Muhammad Ali Khan,Shaikh Salahuddin,19,Undirected,19,0,1,0,19,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Khalid Maqbool Siddiqui,Shaikh Salahuddin,19,Undirected,19,0,1,0,19,1;3;4;5,14,1,Interior and Narcotics Control
Mehboob Alam,Muhammad Muzammil Qureshi,19,Undirected,19,0,1,0,19,1;2;3;5,14,1,"Law, Justice and Human Rights"
Abdul Qadir Patel,Syed Rafiullah,19,Undirected,19,0,1,0,19,2;3;4,15,0,
Engineer Sabir Hussain,Engineer Sabir Hussain,19,Undirected,19,0,1,0,19,1;2;4,15,0,
Dr. Muhammad Farooq Sattar,S. A. Iqbal Qadri,19,Undirected,19,0,1,0,19,1;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Dr. Muhammad Farooq Sattar,Shaikh Salahuddin,19,Undirected,19,0,1,0,19,1;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
S. A. Iqbal Qadri,Saman Sultana Jafri,18,Undirected,18,0,1,0,18,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Sardar Ayaz Sadiq,Shaza Fatima Khawaja,18,Undirected,18,0,1,0,18,2;3,15,0,
Abdul Waseem,Saman Sultana Jafri,18,Undirected,18,0,1,0,18,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Ali Muhammad Khan,Ali Muhammad Khan,18,Undirected,18,0,1,16,2,1;2,14;15,0,
Sanjay Perwani,Shaikh Salahuddin,18,Undirected,18,0,1,0,18,1;2;3;5,14,1,"Law, Justice and Human Rights"
Saman Sultana Jafri,Syed Ali Raza Abidi,18,Undirected,18,0,1,0,18,3;4;5,14,0,
Shaukat Fayaz Ahmed Tarin,Shaukat Fayaz Ahmed Tarin,18,Undirected,18,0,1,18,0,4,15,0,
Aftab Jehangir,Engineer Sabir Hussain,18,Undirected,0,18,0,0,18,1,15,0,
Aftab Jehangir,Syed Amin ul Haque,18,Undirected,0,18,0,0,18,1,15,0,
Syed Naveed Qamar,Syed Naveed Qamar,18,Undirected,18,0,1,7,11,1;2;4;5,15,0,
Khawaja Muhammad Asif,Marriyum Aurangzeb,18,Undirected,18,0,1,0,18,2;3,15,0,
S. A. Iqbal Qadri,Sufyan Yousuf,18,Undirected,18,0,1,0,18,1;2;3;4,14,4,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Kishwer Zehra,Sajid Ahmed,18,Undirected,18,0,1,0,18,1;2;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Kishwer Zehra,Sufyan Yousuf,18,Undirected,18,0,1,0,18,1;3;4,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Kishwer Zehra,Tahira Aurangzeb,18,Undirected,0,18,0,0,18,1;3;5,14;15,0,
Dr. Fouzia Hameed,Sanjay Perwani,18,Undirected,18,0,1,0,18,3;4;5,14,0,
Dr. Fouzia Hameed,Dr. Khalid Maqbool Siddiqui,18,Undirected,18,0,1,0,18,3;4;5,14,0,
Aftab Jehangir,Iqbal Muhammad Ali Khan,18,Undirected,0,18,0,0,18,1,15,0,
Marriyum Aurangzeb,Shahid Khaqan Abbasi,18,Undirected,18,0,1,0,18,2;3,15,0,
Aftab Jehangir,Kishwer Zehra,18,Undirected,0,18,0,0,18,1,15,0,
Kishwer Zehra,Syed Waseem Hussain,17,Undirected,17,0,1,0,17,1;2;3;4;5,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Khawaja Saad Rafique,Marriyum Aurangzeb,17,Undirected,17,0,1,0,17,2;3,15,0,
Muhammad Muzammil Qureshi,Muhammad Muzammil Qureshi,17,Undirected,17,0,1,0,17,2;3;5,14,0,
