Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Bilal Rehman,Kiran Haider,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Sajid Hussain Turi,Shah Jee Gul Afridi,2,Undirected,2,0,0,0,2,3,14,0,
Sajid Hussain Turi,Shahab-ud-Din Khan,2,Undirected,0,2,0,0,2,3,14,0,
Nafeesa Inayatullah Khan Khattak,Nooreen Farooq Khan,2,Undirected,2,0,1,0,2,2;4,15,0,
Nafeesa Inayatullah Khan Khattak,Riaz Fatyana,2,Undirected,2,0,1,0,2,2;3,15,0,
Bilal Rehman,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Kiran Haider,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Phyllis Azeem,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Dr. Nikhat Shakeel Khan,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Phyllis Azeem,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Farhana Qamar,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Seema Mohiuddin Jameeli,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Iqbal Muhammad Ali Khan,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Malik Abdul Ghaffar Dogar,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Ch. Asad Ur Rehman,2,Undirected,0,2,0,0,2,4,14,0,
Bilal Rehman,Shah Jee Gul Afridi,2,Undirected,2,0,1,0,2,4,14,0,
Abdul Kareem,Bilal Rehman,2,Undirected,0,2,0,0,2,4,14,0,
Abdul Kareem,Muhammad Safdar,2,Undirected,2,0,1,0,2,4,14,0,
Malik Abdul Ghaffar Dogar,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Farhana Qamar,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Malik Abdul Ghaffar Dogar,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Dr. Nikhat Shakeel Khan,Muhammad Safdar,2,Undirected,0,2,0,0,2,4,14,0,
Malik Abdul Ghaffar Dogar,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Asiya Naz Tanoli,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Asiya Naz Tanoli,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Asiya Naz Tanoli,Dr. Nikhat Shakeel Khan,2,Undirected,0,2,0,0,2,4,14,0,
Nafeesa Inayatullah Khan Khattak,Zille Huma,2,Undirected,2,0,1,0,2,2,15,0,
Asiya Naz Tanoli,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Malik Abdul Ghaffar Dogar,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Malik Abdul Ghaffar Dogar,Seema Mohiuddin Jameeli,2,Undirected,2,0,1,0,2,4,14,0,
Malik Muhammad Aamir Dogar,Malik Muhammad Aamir Dogar,2,Undirected,2,0,1,0,2,1;5,14;15,0,
Aasiya Nasir,Reeta Ishwar,2,Undirected,0,2,0,0,2,1,14,1,"Law, Justice and Human Rights"
Aasiya Nasir,Phyllis Azeem,2,Undirected,0,2,0,0,2,1,14,1,"Law, Justice and Human Rights"
Aasiya Nasir,Romina Khurshid Alam,2,Undirected,0,2,0,0,2,1,14,1,"Law, Justice and Human Rights"
Aasiya Nasir,Qari Muhammad Yousaf,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Aasiya Nasir,Muhammad Gohar Shah,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Ali Khan Jadoon,Zille Huma,2,Undirected,2,0,1,0,2,2,15,0,
Naeema Kishwar Khan,Seema Mohiuddin Jameeli,2,Undirected,0,2,0,0,2,4,14,0,
Naeema Kishwar Khan,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Naeema Kishwar Khan,Qamar Ud Din,2,Undirected,2,0,1,0,2,3;5,14,1,"Law, Justice and Human Rights"
Sahib Zada Muhammad Yaqub,Sahib Zada Muhammad Yaqub,2,Undirected,2,0,1,0,2,2;4,14,0,
Ameer Zaman,Qari Muhammad Yousaf,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Naeema Kishwar Khan,Sahibzada Tariq Ullah,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Naeema Kishwar Khan,Sher Akbar Khan,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Ameer Zaman,Muhammad Gohar Shah,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Shahida Akhtar Ali,Sher Akbar Khan,2,Undirected,0,2,0,0,2,1,14;15,1,"Law, Justice and Human Rights"
Abdul Rehman Khan Kanju,Rana Tanveer Hussain,2,Undirected,2,0,1,0,2,1,15,0,
Jamshaid Ahmad Dasti,Sahib Zada Muhammad Yaqub,2,Undirected,0,2,0,0,2,4,14,0,
Jamshaid Ahmad Dasti,Sahibzada Tariq Ullah,2,Undirected,0,2,0,0,2,4,14,0,
Jamshaid Ahmad Dasti,Sher Akbar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Afreen Khan,Rana Sana Ullah Khan,2,Undirected,0,2,0,0,2,1,15,0,
Afreen Khan,Mian Najibuddin Awaisi,2,Undirected,0,2,0,0,2,1,15,0,
Jamshaid Ahmad Dasti,Mrs. Shahida Rehmani,2,Undirected,0,2,0,0,2,4,14,0,
Amjid Ali Khan,Moulana Abdul Akbar Chitrali,2,Undirected,0,2,0,0,2,3,15,0,
Amjid Ali Khan,Uzma Riaz,2,Undirected,2,0,1,0,2,2,15,0,
Ahsan Iqbal,Rana Sana Ullah Khan,2,Undirected,2,0,1,0,2,1,15,0,
Ahsan Iqbal,Mian Najibuddin Awaisi,2,Undirected,2,0,1,0,2,1,15,0,
Abdul Rehman Khan Kanju,Muhammad Sajjad,2,Undirected,2,0,1,0,2,1,15,0,
Abdul Rehman Khan Kanju,Afreen Khan,2,Undirected,0,2,0,0,2,1,15,0,
Abdul Rehman Khan Kanju,Ahsan Iqbal,2,Undirected,2,0,1,0,2,1,15,0,
Abdul Rehman Khan Kanju,Marriyum Aurangzeb,2,Undirected,2,0,1,0,2,1,15,0,
Abdul Rehman Khan Kanju,Murtaza Javed Abbasi,2,Undirected,2,0,1,0,2,1,15,0,
Aisha Syed,Jamshaid Ahmad Dasti,2,Undirected,0,2,0,0,2,4,14,0,
Salah Ud Din Ayubi,Syed Amin ul Haque,2,Undirected,0,2,0,0,2,1,15,0,
Salah Ud Din Ayubi,Salah-ud-Din,2,Undirected,0,2,0,0,2,1,15,0,
Muhammad Sajjad,Rana Sana Ullah Khan,2,Undirected,2,0,1,0,2,1,15,0,
Murtaza Javed Abbasi,Rana Sana Ullah Khan,2,Undirected,2,0,1,0,2,1,15,0,
Faheem Khan,Nafeesa Inayatullah Khan Khattak,2,Undirected,2,0,1,0,2,2,15,0,
Faheem Khan,Zille Huma,2,Undirected,2,0,1,0,2,2,15,0,
Faheem Khan,Raja Khurram Shahzad Nawaz,2,Undirected,2,0,1,0,2,2,15,0,
Aisha Syed,Aisha Syed,2,Undirected,2,0,1,0,2,2;4,14,0,
Malik Abdul Ghaffar Dogar,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Malik Abdul Ghaffar Dogar,Muhammad Safdar,2,Undirected,2,0,1,0,2,4,14,0,
Salah Ud Din Ayubi,Usman Khan Tarrakai,2,Undirected,0,2,0,0,2,2;3,15,0,
Moulana Abdul Akbar Chitrali,Syed Javed Hassnain,2,Undirected,0,2,0,0,2,3,15,0,
Kesoo Mal Kheeal Das,Sajid Khan,2,Undirected,0,2,0,0,2,1,15,0,
Mahesh Kumar Malani,Sajid Khan,2,Undirected,0,2,0,0,2,1,15,0,
Ch. Asad Ur Rehman,Dr. Ramesh Kumar Vankwani,2,Undirected,2,0,0,0,2,4,14,0,
Ch. Asad Ur Rehman,Kiran Haider,2,Undirected,2,0,1,0,2,4,14,0,
Kesoo Mal Kheeal Das,Zahra Wadood Fatemi,2,Undirected,2,0,1,0,2,5,15,0,
Ch. Asad Ur Rehman,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Ch. Asad Ur Rehman,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Noor Alam Khan,Uzma Riaz,2,Undirected,2,0,1,0,2,4,15,0,
Noor Alam Khan,Rana Iradat Sharif Khan,2,Undirected,0,2,0,0,2,4,15,0,
Ch. Asad Ur Rehman,Dr. Nikhat Shakeel Khan,2,Undirected,0,2,0,0,2,4,14,0,
Ch. Asad Ur Rehman,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Syed Fakhar Imam,Uzma Riaz,2,Undirected,2,0,1,0,2,2,15,0,
Riaz Fatyana,Uzma Riaz,2,Undirected,2,0,1,0,2,2,15,0,
Ali Gohar Khan,Choudhary Faqir Ahmad,2,Undirected,2,0,1,0,2,5,15,0,
Agha Muhammad,Sahibzada Tariq Ullah,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Ali Gohar Khan,Ali Gohar Khan,2,Undirected,2,0,1,0,2,3;4,15,0,
Agha Muhammad,Sher Akbar Khan,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Asad Qaiser,Sana Ullah Khan Mastikhel,2,Undirected,2,0,1,0,2,1,16,0,
Asad Qaiser,Shahzada Muhammad Gushtasap Khan,2,Undirected,2,0,1,0,2,1,16,0,
Mian Najibuddin Awaisi,Muhammad Sajjad,2,Undirected,2,0,1,0,2,1,15,0,
Mian Najibuddin Awaisi,Murtaza Javed Abbasi,2,Undirected,2,0,1,0,2,1,15,0,
Mian Najibuddin Awaisi,Rana Tanveer Hussain,2,Undirected,2,0,1,0,2,1,15,0,
Mrs. Mahreen Razaque Bhutto,Mrs. Mahreen Razaque Bhutto,2,Undirected,2,0,1,0,2,4;5,15,0,
Seema Mohiuddin Jameeli,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Seema Mohiuddin Jameeli,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Sana Ullah Khan Mastikhel,Shahzada Muhammad Gushtasap Khan,2,Undirected,2,0,1,0,2,1,16,0,
Qaisar Ahmad Sheikh,Shahab-ud-Din Khan,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Isphanyar M. Bhandara,Lal Chand Malhi,2,Undirected,0,2,0,0,2,1;3,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Mohammad Salman Khan Baloch,Sufyan Yousuf,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Agha Muhammad,Qari Muhammad Yousaf,2,Undirected,2,0,1,0,2,1;5,14,1,"Law, Justice and Human Rights"
Khawaja Sohail Mansoor,Muhammad Rehan Hashmi,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Khawaja Sohail Mansoor,Shaikh Salahuddin,2,Undirected,2,0,1,0,2,1;5,14,1,"Law, Justice and Human Rights"
Ch. Asad Ur Rehman,Farhana Qamar,2,Undirected,2,0,1,0,2,4,14,0,
Ch. Asad Ur Rehman,Seema Mohiuddin Jameeli,2,Undirected,2,0,1,0,2,4,14,0,
Khawaja Sohail Mansoor,Syed Waseem Hussain,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Abdul Rashid Godil,Dr. Muhammad Farooq Sattar,2,Undirected,2,0,1,0,2,1,14,1,Interior and Narcotics Control
Iqbal Muhammad Ali Khan,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Abdul Rashid Godil,Abdul Rashid Godil,2,Undirected,2,0,1,0,2,2,14,0,
Muhammad Rehan Hashmi,Muhammad Rehan Hashmi,2,Undirected,2,0,1,0,2,2,14,0,
Iqbal Muhammad Ali Khan,Muhammad Safdar,2,Undirected,0,2,0,0,2,4,14,0,
Khawaja Sohail Mansoor,Kishwer Zehra,2,Undirected,2,0,1,0,2,1;5,14,1,Interior and Narcotics Control
Khawaja Sohail Mansoor,Sajid Ahmed,2,Undirected,2,0,1,0,2,1;5,14,1,Interior and Narcotics Control
Khawaja Sohail Mansoor,Syed Asif Hasnain,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Khawaja Sohail Mansoor,Muhammad Muzammil Qureshi,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Muhammad Raza Hayat Hiraj,Muhammad Raza Hayat Hiraj,2,Undirected,2,0,1,0,2,2,14,0,
Khawaja Sohail Mansoor,Sufyan Yousuf,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Pervaiz Malik,Shaista Pervaiz,2,Undirected,2,0,1,0,2,1,14,2,"Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Abdul Kareem,Dr. Ramesh Kumar Vankwani,2,Undirected,2,0,0,0,2,4,14,0,
Abdul Kareem,Kiran Haider,2,Undirected,2,0,1,0,2,4,14,0,
Abdul Kareem,Begum Tahira Bukhari,2,Undirected,2,0,1,0,2,4,14,0,
Abdul Kareem,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Abdul Kareem,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Maulvi Asmatullah,Usman Khan Tarrakai,2,Undirected,0,2,0,0,2,2;3,15,0,
Maulvi Asmatullah,Mujahid Ali,2,Undirected,0,2,0,0,2,2;3,15,0,
Muhammad Gohar Shah,Sahibzada Tariq Ullah,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Muhammad Gohar Shah,Sher Akbar Khan,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Abdul Kareem,Dr. Nikhat Shakeel Khan,2,Undirected,0,2,0,0,2,4,14,0,
Muhammad Mobeen Arif,Usama Ahmed Mela,2,Undirected,2,0,1,0,2,1,16,0,
Sher Akbar Khan,Usman Khan Tarrakai,2,Undirected,2,0,0,0,2,2;3,15,0,
Kesoo Mal Kheal Das,Naveed Amir,2,Undirected,0,2,0,0,2,1,16,0,
Kesoo Mal Kheal Das,Ramesh Lal,2,Undirected,0,2,0,0,2,1,16,0,
Abdul Kareem,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Abdul Shakoor,Usman Khan Tarrakai,2,Undirected,0,2,0,0,2,2;3,15,0,
Abdul Shakoor,Mujahid Ali,2,Undirected,0,2,0,0,2,2;3,15,0,
Nooreen Farooq Khan,Uzma Riaz,2,Undirected,2,0,1,0,2,2;4,15,0,
Nooreen Farooq Khan,Raja Khurram Shahzad Nawaz,2,Undirected,2,0,1,0,2,2;4,15,0,
Dr. Arif Alvi,Hamid Ul Haq,2,Undirected,2,0,1,0,2,3,14,0,
Dr. Arif Alvi,Dr. Arif Alvi,2,Undirected,2,0,1,0,2,2,14,0,
Abdul Kareem,Farhana Qamar,2,Undirected,2,0,1,0,2,4,14,0,
Nooreen Farooq Khan,Sher Ali Arbab,2,Undirected,2,0,1,0,2,4,15,0,
Nooreen Farooq Khan,Riaz Fatyana,2,Undirected,2,0,1,0,2,4,15,0,
Nooreen Farooq Khan,Sher Akbar Khan,2,Undirected,2,0,0,0,2,4,15,0,
Agha Muhammad,Muhammad Jamal Ud Din,2,Undirected,2,0,0,0,2,3;5,14,0,
Makhdoom Shah Mahmood Qureshi,Rai Hasan Nawaz Khan,2,Undirected,2,0,1,0,2,3,14,0,
Syed Mehmood Shah,Usman Khan Tarrakai,2,Undirected,0,2,0,0,2,2;3,15,0,
Sher Akbar Khan,Sher Akbar Khan,2,Undirected,2,0,1,0,2,2;4,14,0,
Kiran Haider,Marvi Memon,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Kareem,Seema Mohiuddin Jameeli,2,Undirected,2,0,1,0,2,4,14,0,
Abdul Kareem,Asiya Naz Tanoli,2,Undirected,2,0,1,0,2,4,14,0,
Mehnaz Akber Aziz,Riaz Fatyana,2,Undirected,0,2,0,0,2,2;4,15,0,
Agha Hassan Baloch,Agha Hassan Baloch,2,Undirected,2,0,1,1,1,3;4,15,0,
Mehnaz Akber Aziz,Nafeesa Inayatullah Khan Khattak,2,Undirected,0,2,0,0,2,2,15,0,
Mehnaz Akber Aziz,Raja Khurram Shahzad Nawaz,2,Undirected,0,2,0,0,2,2,15,0,
Kiran Haider,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Kiran Haider,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Kiran Haider,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Kiran Haider,Malik Abdul Ghaffar Dogar,2,Undirected,2,0,1,0,2,4,14,0,
Kiran Haider,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Junaid Akbar,Rai Hasan Nawaz Khan,2,Undirected,2,0,1,0,2,3,14,0,
Asma Hadeed,Asma Hadeed,2,Undirected,2,0,1,0,2,4,15,0,
Asma Hadeed,Mehnaz Akber Aziz,2,Undirected,0,2,0,0,2,2;4,15,0,
Begum Tahira Bukhari,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Begum Tahira Bukhari,Bilal Rehman,2,Undirected,0,2,0,0,2,4,14,0,
Asma Hadeed,Atta Ullah,2,Undirected,2,0,1,0,2,2,15,0,
Asma Hadeed,Faheem Khan,2,Undirected,2,0,1,0,2,2,15,0,
Asma Hadeed,Imran Khattak,2,Undirected,2,0,1,0,2,2,15,0,
Kiran Haider,Makhdoom Khusro Bakhtiar,2,Undirected,2,0,0,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Kiran Haider,Qaisar Ahmad Sheikh,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Kiran Haider,Shahab-ud-Din Khan,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Begum Tahira Bukhari,Dr. Ramesh Kumar Vankwani,2,Undirected,2,0,0,0,2,4,14,0,
Begum Tahira Bukhari,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Begum Tahira Bukhari,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Begum Tahira Bukhari,Dr. Nikhat Shakeel Khan,2,Undirected,0,2,0,0,2,4,14,0,
Begum Tahira Bukhari,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Begum Tahira Bukhari,Iqbal Muhammad Ali Khan,2,Undirected,0,2,0,0,2,4,14,0,
Begum Tahira Bukhari,Malik Abdul Ghaffar Dogar,2,Undirected,2,0,1,0,2,4,14,0,
Begum Tahira Bukhari,Ch. Asad Ur Rehman,2,Undirected,2,0,1,0,2,4,14,0,
Agha Muhammad,Mrs. Aliya Kamran,2,Undirected,2,0,0,0,2,1;3,14,1,"Law, Justice and Human Rights"
Sahibzada Tariq Ullah,Sahibzada Tariq Ullah,2,Undirected,2,0,1,0,2,2;4,14,0,
Naz Baloch,Nooreen Farooq Khan,2,Undirected,0,2,0,0,2,4,15,0,
Begum Tahira Bukhari,Marvi Memon,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Kareem,Iqbal Muhammad Ali Khan,2,Undirected,0,2,0,0,2,4,14,0,
Abdul Kareem,Malik Abdul Ghaffar Dogar,2,Undirected,2,0,1,0,2,4,14,0,
Begum Tahira Bukhari,Makhdoom Khusro Bakhtiar,2,Undirected,2,0,0,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Begum Tahira Bukhari,Qaisar Ahmad Sheikh,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Begum Tahira Bukhari,Shahab-ud-Din Khan,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Asia Naz Tanoli,Asia Naz Tanoli,2,Undirected,2,0,1,0,2,1,16,0,
Abdul Kareem,Ch. Asad Ur Rehman,2,Undirected,2,0,1,0,2,4,14,0,
Choudhary Faqir Ahmad,Choudhary Faqir Ahmad,2,Undirected,2,0,1,0,2,4,15,0,
Marvi Memon,Shaista Pervaiz,2,Undirected,2,0,1,0,2,1,14,2,"Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Marvi Memon,Muhammad Pervaiz Malik,2,Undirected,2,0,1,0,2,1,14,2,"Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Marvi Memon,Qaisar Ahmad Sheikh,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Marvi Memon,Shahab-ud-Din Khan,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Marvi Memon,Muhammad Safdar,2,Undirected,2,0,1,0,2,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Kareem,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Rana Muhammad Afzal Khan,Rana Muhammad Afzal Khan,2,Undirected,2,0,1,2,0,5,14,0,
Asad Umar,Makhdoom Shah Mahmood Qureshi,2,Undirected,2,0,1,0,2,3,14,0,
Kanwar Naveed Jamil,Muhammad Kamal Malik,2,Undirected,2,0,1,0,2,3;4,14,0,
Kanwar Naveed Jamil,Syed Asif Hasnain,2,Undirected,2,0,1,0,2,3;4,14,0,
Kanwar Naveed Jamil,Sufyan Yousuf,2,Undirected,2,0,1,0,2,3;4,14,0,
Sufyan Yousuf,Sufyan Yousuf,2,Undirected,2,0,1,0,2,2;3,14,0,
Kanwar Naveed Jamil,Syed Waseem Hussain,2,Undirected,2,0,1,0,2,3;4,14,0,
Kanwar Naveed Jamil,Sajid Ahmed,2,Undirected,2,0,1,0,2,5,14,0,
Kanwar Naveed Jamil,Syed Ali Raza Abidi,2,Undirected,2,0,1,0,2,5,14,0,
Dr. Zulfiqar Ali Bhatti,Syed Javed Hassnain,2,Undirected,2,0,1,0,2,5,15,0,
Dr. Zulfiqar Ali Bhatti,Kesoo Mal Kheeal Das,2,Undirected,2,0,1,0,2,5,15,0,
Dr. Zulfiqar Ali Bhatti,Ihsan ul Haq Bajwa,2,Undirected,2,0,1,0,2,5,15,0,
Dr. Zulfiqar Ali Bhatti,Syed Imran Ahmad Shah,2,Undirected,2,0,1,0,2,5,15,0,
Farhana Qamar,Naeema Kishwar Khan,2,Undirected,0,2,0,0,2,4,14,0,
Farhana Qamar,Shahida Akhtar Ali,2,Undirected,0,2,0,0,2,4,14,0,
Farhana Qamar,Phyllis Azeem,2,Undirected,2,0,1,0,2,4,14,0,
Farhana Qamar,Iqbal Muhammad Ali Khan,2,Undirected,0,2,0,0,2,4,14,0,
Farhana Qamar,Malik Abdul Ghaffar Dogar,2,Undirected,2,0,1,0,2,4,14,0,
Farhana Qamar,Shah Jee Gul Afridi,2,Undirected,0,2,0,0,2,4,14,0,
Sufyan Yousuf,Syed Ali Raza Abidi,2,Undirected,2,0,1,0,2,1;4,14,1,"Law, Justice and Human Rights"
Raja Khurram Shahzad Nawaz,Riaz Fatyana,2,Undirected,2,0,1,0,2,2,15,0,
Raja Khurram Shahzad Nawaz,Syed Fakhar Imam,2,Undirected,2,0,1,0,2,2,15,0,
Syed Imran Ahmad Shah,Zahra Wadood Fatemi,2,Undirected,2,0,1,0,2,5,15,0,
Ihsan ul Haq Bajwa,Kesoo Mal Kheeal Das,2,Undirected,2,0,1,0,2,5,15,0,
Ihsan ul Haq Bajwa,Zahra Wadood Fatemi,2,Undirected,2,0,1,0,2,5,15,0,
Ihsan ul Haq Bajwa,Syed Imran Ahmad Shah,2,Undirected,2,0,1,0,2,5,15,0,
Ali Nawaz Awan,Syed Fakhar Imam,2,Undirected,2,0,1,0,2,2,15,0,
Raja Khurram Shahzad Nawaz,Zille Huma,2,Undirected,2,0,1,0,2,2,15,0,
Raja Khurram Shahzad Nawaz,Uzma Riaz,2,Undirected,2,0,1,0,2,2;4,15,0,
Ali Nawaz Awan,Faheem Khan,2,Undirected,2,0,1,0,2,2,15,0,
Ali Nawaz Awan,Zille Huma,2,Undirected,2,0,1,0,2,2,15,0,
Ali Nawaz Awan,Asad Umar,2,Undirected,2,0,1,0,2,2,15,0,
Ali Nawaz Awan,Uzma Riaz,2,Undirected,2,0,1,0,2,2;4,15,0,
Ali Nawaz Awan,Nooreen Farooq Khan,2,Undirected,2,0,1,0,2,2;4,15,0,
Ali Nawaz Awan,Mehnaz Akber Aziz,2,Undirected,0,2,0,0,2,2,15,0,
Qari Muhammad Yousaf,Shahida Akhtar Ali,2,Undirected,2,0,1,0,2,1;3,14,1,"Law, Justice and Human Rights"
Dr. Muhammad Afzal Khan Dhandla,Dr. Muhammad Afzal Khan Dhandla,2,Undirected,2,0,1,0,2,4;5,15,0,
Ali Nawaz Awan,Atta Ullah,2,Undirected,2,0,1,0,2,2,15,0,
Ms Shagufta Jumani,Syed Ghulam Mustafa Shah,2,Undirected,2,0,1,0,2,5,15,0,
Mir Ghulam Ali Talpur,Ms Shagufta Jumani,2,Undirected,2,0,1,0,2,5,15,0,
Mir Ghulam Ali Talpur,Syed Ghulam Mustafa Shah,2,Undirected,2,0,1,0,2,5,15,0,
Khurshed Ahmed Junejo,Ms Shagufta Jumani,2,Undirected,2,0,1,0,2,5,15,0,
Khurshed Ahmed Junejo,Syed Ghulam Mustafa Shah,2,Undirected,2,0,1,0,2,5,15,0,
Khurshed Ahmed Junejo,Mir Ghulam Ali Talpur,2,Undirected,2,0,1,0,2,5,15,0,
Qari Muhammad Yousaf,Sahibzada Tariq Ullah,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Naveed Amir,Nelson Azeem,2,Undirected,0,2,0,0,2,1,16,0,
Atta Ullah,Faheem Khan,2,Undirected,2,0,1,0,2,2,15,0,
Atta Ullah,Zille Huma,2,Undirected,2,0,1,0,2,2,15,0,
Atta Ullah,Raja Khurram Shahzad Nawaz,2,Undirected,2,0,1,0,2,2,15,0,
Nighat Parveen,Shahnaz Saleem Malik,2,Undirected,2,0,1,0,2,5,14,0,
Nighat Parveen,Parveen Masood Bhatti,2,Undirected,2,0,1,0,2,5,14,0,
Atta Ullah,Nafeesa Inayatullah Khan Khattak,2,Undirected,2,0,1,0,2,2,15,0,
Nelson Azeem,Ramesh Lal,2,Undirected,0,2,0,0,2,1,16,0,
Qari Muhammad Yousaf,Sher Akbar Khan,2,Undirected,0,2,0,0,2,1;5,14,1,"Law, Justice and Human Rights"
Abdul Waseem,Khawaja Sohail Mansoor,2,Undirected,2,0,1,0,2,1;5,14,1,"Law, Justice and Human Rights"
